"","Kingdom","Phylum","Class","Order","Lineage","Clade","Tribe"
"643909","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__","s__"
"656510","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","unclassified","unclassified","unclassified"
"657640","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","unclassified","unclassified","unclassified"
"645746","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","unclassified","unclassified"
"647180","unknown","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"632772","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bosea","s__genosp."
"647270","k__Bacteria","p__Acidobacteria","c__DA052","o__Ellin6513","f__","g__","s__"
"580679","k__Bacteria","p__Spirochaetes","c__Spirochaetes","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__"
"582711","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Coxiellaceae","g__","s__"
"636216","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"650375","k__Bacteria","p__OD1","c__","o__","f__","g__","s__"
"627085","k__Bacteria","p__Chloroflexi","c__Dehalococcoidetes","o__Dehalococcoidales","unclassified","unclassified","unclassified"
"654712","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__"
"633395","k__Archaea","p__[Parvarchaeota]","c__[Parvarchaea]","o__YLA114","f__","g__","s__"
"416309","k__Bacteria","p__OP11","c__OP11-2","unclassified","unclassified","unclassified","unclassified"
"546362","unknown","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"637224","k__Bacteria","p__WS3","c__PRR-12","o__PBS-III-9","f__","g__","s__"
"649807","k__Bacteria","p__OP8","c__OP8_1","o__","f__","g__","s__"
